match_id,competition,season_year,matchday,kickoff,home_team,home_team_logo,away_team,away_team_logo,stadium_official,stadium_sponsor,status,round
2045313,UEL,2026,MD2,2025-07-17T17:00:00Z,Häcken,https://img.uefa.com/imgml/TP/teams/logos/700x700/69621.png,Spartak Trnava,https://img.uefa.com/imgml/TP/teams/logos/700x700/52904.png,Hisingen Arena,Bravida Arena,FINISHED,First qualifying round
2045315,UEL,2026,MD2,2025-07-17T16:00:00Z,Aktobe,https://img.uefa.com/imgml/TP/teams/logos/700x700/79973.png,Legia Warszawa,https://img.uefa.com/imgml/TP/teams/logos/700x700/50146.png,Aktobe Ortalyk Stadion,N/A,FINISHED,First qualifying round
2045311,UEL,2026,MD2,2025-07-17T16:00:00Z,Ilves,https://img.uefa.com/imgml/TP/teams/logos/700x700/2602511.png,Shakhtar,https://img.uefa.com/imgml/TP/teams/logos/700x700/52707.png,Tammelan Stadion,no,FINISHED,First qualifying round
2045307,UEL,2026,MD1,2025-07-10T19:00:00Z,Legia Warszawa,https://img.uefa.com/imgml/TP/teams/logos/700x700/50146.png,Aktobe,https://img.uefa.com/imgml/TP/teams/logos/700x700/79973.png,The Marshall Józef Piłsudski's Municipal Stadium of Legia Warsaw,The Marshall Józef Piłsudski's Municipal Stadium of Legia Warsaw,FINISHED,First qualifying round
2045305,UEL,2026,MD1,2025-07-10T18:15:00Z,Spartak Trnava,https://img.uefa.com/imgml/TP/teams/logos/700x700/52904.png,Häcken,https://img.uefa.com/imgml/TP/teams/logos/700x700/69621.png,Štadión Antona Malatinského,City Arena,FINISHED,First qualifying round
2045303,UEL,2026,MD1,2025-07-10T18:00:00Z,Shakhtar,https://img.uefa.com/imgml/TP/teams/logos/700x700/52707.png,Ilves,https://img.uefa.com/imgml/TP/teams/logos/700x700/2602511.png,Stadion Stožice,Stadion Stožice,FINISHED,First qualifying round
2045308,UEL,2026,MD1,2025-07-10T17:30:00Z,Levski Sofia,https://img.uefa.com/imgml/TP/teams/logos/700x700/50044.png,H. Beer-Sheva,https://img.uefa.com/imgml/TP/teams/logos/700x700/59340.png,Georgi Asparuhov Stadium,VIVACOM ARENA,FINISHED,First qualifying round
2045310,UEL,2026,MD1,2025-07-10T17:00:00Z,Paksi,https://img.uefa.com/imgml/TP/teams/logos/700x700/93452.png,CFR Cluj,https://img.uefa.com/imgml/TP/teams/logos/700x700/88131.png,Paksi FC Stadion,Paksi FC Stadion,FINISHED,First qualifying round
2045304,UEL,2026,MD1,2025-07-10T17:00:00Z,Sheriff,https://img.uefa.com/imgml/TP/teams/logos/700x700/69606.png,Prishtina,https://img.uefa.com/imgml/TP/teams/logos/700x700/2608287.png,Sheriff Main Arena,Sheriff Complex Tiraspol,FINISHED,First qualifying round
2045309,UEL,2026,MD1,2025-07-10T16:30:00Z,AEK Larnaca,https://img.uefa.com/imgml/TP/teams/logos/700x700/54191.png,Partizan,https://img.uefa.com/imgml/TP/teams/logos/700x700/50162.png,AEK Arena,AEK Arena,FINISHED,First qualifying round
2045306,UEL,2026,MD1,2025-07-10T16:00:00Z,Sabah,https://img.uefa.com/imgml/TP/teams/logos/700x700/2609356.png,Celje,https://img.uefa.com/imgml/TP/teams/logos/700x700/59030.png,Alinja Stadium,Bank Respublika Arena,FINISHED,First qualifying round
2046406,UECL,2026,MD6,2025-12-18T20:00:00Z,Lausanne-Sport,https://img.uefa.com/imgml/TP/teams/logos/700x700/4251.png,Fiorentina,https://img.uefa.com/imgml/TP/teams/logos/700x700/52817.png,Stade de la Tuilière,Stade de la Tuilière,UPCOMING,League Phase
2046405,UECL,2026,MD6,2025-12-18T20:00:00Z,AEK Larnaca,https://img.uefa.com/imgml/TP/teams/logos/700x700/54191.png,Shkëndija,https://img.uefa.com/imgml/TP/teams/logos/700x700/75807.png,AEK Arena,AEK Arena,UPCOMING,League Phase
